Nordwandschacht
SURVEY NAME: Nordwandschacht
SURVEY DATE: 8 13 2023  COMMENT: Gr��te Halle Osterreich
SURVEY TEAM: 
Tanguy Racine Peter Jeutter Robin Jeutter
DECLINATION:    0.00  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

            nw.3.10              nw.3.9    35.73   172.10   -58.00     8.99     0.43    71.03    21.00  #| #
              nw.1.0               nw.1.1    29.54    76.30    -2.70    48.86   149.79    18.79   126.44
              nw.1.1               nw.1.2    38.52    80.30    28.00    44.32   141.45     0.00   110.47
              nw.1.2             nw.1.2.1    51.44     5.70     2.50   105.71    75.01    37.42    65.46
            nw.1.2.1             nw.1.2.2    12.95    14.30    17.20    14.69    31.45     0.00     7.71
            nw.1.2.2             nw.1.2.3    21.13    63.90    36.00     6.10     3.51     8.29    55.75
            nw.1.2.2             nw.1.2.4    18.02   250.50     3.20    58.41     3.51     8.29     6.03
            nw.1.2.4             nw.1.2.5    15.03   320.90   -14.80    19.12     7.86     4.37     4.33
            nw.1.2.5             nw.1.2.6    17.63   290.80     8.50    17.93     2.75    10.12     4.35
            nw.1.2.6             nw.1.2.7     7.74   203.10     7.90     4.17     9.85     0.00    19.23
            nw.1.2.6             nw.1.2.8    14.92   308.00     0.50     2.81     9.85     0.00     7.61
            nw.1.2.8             nw.1.2.9    28.08    10.30   -14.20     7.51     1.27     7.79     4.59
            nw.1.2.9            nw.1.2.10    33.10   325.00    -0.20     5.48     1.64     0.72     2.21
           nw.1.2.10            nw.1.2.11    21.56   309.70    -5.80     7.01     1.24    14.80     4.01
           nw.1.2.11            nw.1.2.12    17.89   354.50   -11.30     7.39     3.90     6.86     7.87
            nw.1.2.5            nw.1.2.13    16.29   187.60   -24.20    13.82     2.75    10.12    14.47
           nw.1.2.13            nw.1.2.14    17.74   210.60    22.20     2.14    11.05     0.00     1.90
              nw.1.2               nw.1.3    59.83   133.80    29.60    50.97    75.01    37.42    98.32
              nw.1.3               nw.1.4    55.47   107.00    25.20    57.37   142.96    55.99    58.88
              nw.1.4               nw.1.5    21.70    88.30     1.10    31.36    57.54     0.00    42.25
              nw.1.5               nw.1.6    68.43    97.10   -29.90    24.78    74.09    38.03    30.51
              nw.1.6             nw.1.6.1    14.95   103.80   -11.20     5.61     7.01     5.02     4.44
            nw.1.6.1             nw.1.6.2    12.76   139.30   -48.20     0.00     0.00     0.00     0.00
              nw.1.5             nw.1.5.1    26.91   189.00    17.60    68.93    74.09    38.03     0.00
            nw.1.5.1             nw.1.5.2    30.28   227.30    -7.20    16.66    58.39     0.00    12.19
            nw.1.5.2             nw.1.5.3    38.03   261.40   -21.10    14.01    18.53    17.51     5.71
            nw.1.5.3               nw.1.3    65.31   355.50   -12.00   147.26    65.99     6.35    49.54
              nw.1.0             nw.1.0.1    46.22   125.70    -5.20    93.15   149.79    18.79   109.06
            nw.1.0.1             nw.1.0.2    43.60   143.30   -14.20     7.59   104.61    40.73   110.80
            nw.1.0.2             nw.1.0.3    34.82   175.50   -26.30     0.00   103.10    59.06   118.06
            nw.1.0.3             nw.1.0.4    18.38   107.70   -20.80     8.20     4.85     2.64     0.00
            nw.1.0.4             nw.1.0.5    25.13   201.70   -48.60     9.74    18.45    37.35    14.06
            nw.1.0.5             nw.1.0.6    22.87    97.50   -27.10    23.49    27.03    12.55    46.72
            nw.1.0.6             nw.1.0.7    16.06    40.60    -5.70     3.59     2.77     2.78     0.35
            nw.1.0.5             nw.1.0.8    15.46   215.70   -24.40    19.56    27.03    12.55    71.19
            nw.1.0.8             nw.1.0.9    33.96   112.80   -31.80     3.68     5.57    37.74    82.80
            nw.1.0.9            nw.1.0.10    30.37   356.10    20.70    78.46     9.59    27.70    42.62
            nw.1.0.9            nw.1.0.11    39.96   191.80   -12.90    44.59     9.59    27.70    60.81
           nw.1.0.11            nw.1.0.12    23.87    72.90   -41.80     3.77     0.00    17.38     3.56
            nw.1.0.8            nw.1.0.13    27.12   231.30    -6.70    39.22     5.57    37.74     2.37
           nw.1.0.13            nw.1.0.14    30.76   228.20   -22.40    47.70     5.29    56.93   105.50
           nw.1.0.14            nw.1.0.15    41.04   219.40   -35.90    37.35    17.11    34.24     7.81
           nw.1.0.15            nw.1.0.16    32.50   159.20   -24.50    54.12    47.93    11.94   143.51
           nw.1.0.15              nw.1.10    70.87   341.60     9.00   141.19    47.93    11.94    54.31
             nw.1.10               nw.1.9    74.53   356.80    26.20   144.01    81.01    20.89    46.13
              nw.1.9               nw.1.8    52.31    49.70    36.60     1.57   127.09    36.17   146.55
              nw.1.8               nw.1.7    32.36    10.60    57.40    44.86   162.42    14.13     1.84
              nw.1.7               nw.1.0     8.53    18.70     0.80     0.00     0.00     9.03     6.80
             nw.1.10              nw.1.11    54.00   259.70   -22.60   138.74    81.01    20.89    54.60
             nw.1.11              nw.1.12    82.83   258.90   -40.90   138.72    87.57    58.30    44.91
             nw.1.12            nw.1.12.1    34.88   339.60    -8.30    69.91    74.12    34.76    12.37
             nw.1.12              nw.1.13    58.32   250.40   -28.80    75.03    74.12    34.76    32.53
             nw.1.13              nw.1.14    53.66   126.00    15.20    30.25   100.04     0.62    56.88
             nw.1.14              nw.1.15   149.73   171.90    36.90    18.70    46.93    18.74    50.15
             nw.1.15            nw.1.15.1    80.87    75.70     5.70   154.27    83.44    75.22   111.58
             nw.1.15              nw.1.16    34.19   295.30    -8.90    93.74    83.44    75.22   133.18
             nw.1.16              nw.1.17    90.43   208.60   -19.80    54.67    64.99    10.21   122.38
             nw.1.16            nw.1.16.1    72.77   282.30    -6.80   113.74    64.99    10.21   138.91
           nw.1.16.1            nw.1.16.2    55.28   349.80     7.80    64.79    41.96     0.00    76.61
             nw.1.17              nw.1.18    31.89   292.00     3.20    78.03    69.53    15.34    75.39
