X,Y,Z,nom,z,altitude
425363.90649509,5276249.12588952,0,pc_A,-28,1967.000
425353.108730296,5276248.90664556,0,pc_B,-42,1953.000
425356.342578635,5276278.88825644,0,pc_3,-63,1932.000
425343.900484177,5276285.958874,0,pc_4,-65,1930.000
425357.219554456,5276305.19753106,0,pc_5,-66,1929.000
425374.073933513,5276282.86205313,0,pc_6,-39,1956.000
425379.96611481,5276267.95346418,0,pc_7,-63,1932.000
425403.288190546,5276256.36094004,0,pc_8,-71,1924.000
425295.502381063,5276293.52279045,0,pc_9,-130,1865.000
425276.263723992,5276271.70801691,0,pc_10,-105,1890.000
425282.457365727,5276264.80183232,0,pc_11,-115,1880.000
425345.161136919,5276317.80405849,0,pc_12,-160,1835.000
425387.557436759,5276280.09409819,0,pc_13,-79,1916.000
425360.316375323,5276425.83651742,0,pc_14,-250,1745.000
